AQI,AQIStyle,Address,AreaKey,CO,CO_8,CO_PRETXT,CO_VFLAG,CityCode,DataSrc,HO_AQI_VAL,MainPollutant,MainPollutantKey,MonobjName,NO2,NO2_PRETXT,NO2_VFLAG,O3,O3_8,O3_PRETXT,O3_VFLAG,PM10,PM10_AVG,PM10_PRETXT,PM10_VFLAG,PM25,PM25_AVG,PM25_PRETXT,PM25_VFLAG,SO2,SO2_PRETXT,SO2_VFLAG,SiteId,SiteKey,SiteName,THC,THC_VFLAG,Time,lat,lng,x,y
16,AQI1,新北市石門區富貴角海邊,North,0.1,0.10,,1,31,epa,16,懸浮微粒,PM10,背景,2,,1,24,14,,1,21,17,,1,2,4,,1,0.1,,1,84,FugueiCape,富貴角,1.8,1,2019-06-11 10:00:00,25.294147,121.539141,121,86
19,AQI1,臺北市北投區竹子湖路111號,North,0.1,0.10,,1,1,epa,19,臭氧八小時,O3_8hr,公園,-0.1,,1,22,20,,1,7,8,,1,3,2,,1,1.1,,1,64,Yangming,陽明,,,2019-06-11 10:00:00,25.182722,121.529583,120,120
17,AQI1,新北市萬里區瑪鋉路221號,North,0.15,0.20,,1,31,epa,17,臭氧八小時,O3_8hr,"背景,一般",5.3,,1,40,18,,1,13,15,,1,2,4,,1,2.5,,1,3,Wanli,萬里,,,2019-06-11 10:00:00,25.179667,121.689881,170,119
18,AQI1,新北市淡水區中正東路42巷6號,North,0.49,0.40,,1,31,epa,18,細懸浮微粒,PM25,一般,15,,1,5.7,4,,1,22,12,,1,9,5,,1,2.9,,1,10,Tamsui,淡水,,,2019-06-11 10:00:00,25.1645,121.449239,93,119
19,AQI1,基隆市信義區東信路324號,North,0.2,0.20,,1,11,epa,19,細懸浮微粒,PM25,一般,5.2,,1,32,14,,1,8,12,,1,2,6,,1,1.4,,1,1,Keelung,基隆,1.8,1,2019-06-11 10:00:00,25.129167,121.760056,189,139
18,AQI1,臺北市北投區文林北路155號,North,0.25,0.30,,1,1,epa,18,細懸浮微粒,PM25,一般,10,,1,19,7,,1,10,11,,1,5,6,,1,1.7,,1,11,Shilin,士林,,,2019-06-11 10:00:00,25.105917,121.5145,125,150
19,AQI1,新北市林口區文化北路1段425號,North,0.46,0.40,,1,31,epa,19,二氧化氮,NO2,一般,20,,1,9.4,5,,1,16,14,,1,ND,2,,1,1.6,,1,9,Linkou,林口,,,2019-06-11 10:00:00,25.07857,121.365703,72,153
29,AQI1,新北市三重區三和路與重陽路交口,North,2.35,1.20,,1,31,epa,29,二氧化氮,NO2,交通,31,,1,-,-,,3,29,21,,1,10,8,,1,4.7,,1,67,Sanchong,三重,2.5,1,2019-06-11 10:00:00,25.072611,121.493806,106,159
20,AQI1,新北市三重區中正北路163號,North,0.82,0.60,,1,31,epa,20,二氧化氮,NO2,一般,21,,1,5.5,3,,1,17,16,,1,7,5,,1,2,,1,8,Cailiao,菜寮,,,2019-06-11 10:00:00,25.06895,121.481028,92,159
14,AQI1,新北市汐止區樟樹一路137巷26號,North,0.25,0.30,,1,31,epa,14,細懸浮微粒,PM25,一般,10,,1,16,6,,1,6,13,,1,4,4,,1,2.8,,1,2,Xizhi,汐止,,,2019-06-11 10:00:00,25.065669,121.6408,161,164
